[Parameter Information];;;;;;;;;;;;;;;;;;;;;;;;;;;
Name of parameter;CellName;Chemistry;CapaRef;WithAging;CircuitType;Mass;ConvectiveArea;Density;IsCylindrical;SpecificHeat;ThermalConduct;Umin;Umax;Icha;Icha10s;Icha30s;Idch;Idch10s;Idch30s;Trecomm;Tmin;Tmax;a;CACC;Racc;Rleak;Vmax
Parameter to be sent to Amesim model? (=0: No, =1: Yes);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
Plot name (for legend of the plot, =NA: parameter not ploted);NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Format;STRING;STRING;FLOAT;INT;STRING;FLOAT;FLOAT;FLOAT;INT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT;FLOAT
Unity;NA;NA;F;NA;NA;kg;mm**2;kg/m**3;NA;J/kg/K;W/m/K;V;V;A;A;A;A;A;A;degC;degC;degC;V/K;F;Ohm;Ohm;V
Default value;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00025676;2610;0.000531;250;2.7
Description;Cell name;Chemistry of the battery cell (not used for ultra-capacitor);Cell reference capacity;Aging modeling: with (=1) or without (=0);Type of circuit model (eg, OCV+Rohm, OCV+Rohm+Rdiff/Cdiff);Mass of material (of the cell);Convective exchange area;Density of the material;Format: cylindrical (=1), prismatic (0);Specific heat of the material;Thermal conductivity of the material;Minimum voltage;Maximum voltage;Continuous charge current;Pulse charge current (10 s);Pulse charge current (30 s);Continuous discharge current;Pulse discharge current (10 s);Pulse discharge current (30 s);Recommended temperature;Minimum temperature;Maximum temperature;entropic coefficient;nominal capacitance;internal resistance;leakage resistance;maximum voltage
;;;;;;;;;;;;;;;;;;;;;;;;;;;
[Parameter Data];;;;;;;;;;;;;;;;;;;;;;;;;;;
1;2700F quasi-static ultracapacitor cell;2700 F;2700;0;NA;0.525;34000;1122;1;1300;15;0;2.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00025676;2610;0.000531;250;2.7
2;3500F quasi-static ultracapacitor cell;3500 F;3500;0;NA;0.9;60840;1122;0;1300;15;0.9;2.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.00035946;3416;0.000465;4000;2.7
